customer_id,tier,relationship_start,preferred_channel,is_active,age,region
1,Bronze,2023-01-28,App Push,True,27,Others
2,Silver,2024-04-18,WhatsApp,False,23,Sabah/Sarawak
3,Bronze,2022-10-18,Email,True,45,Johor
4,Bronze,2024-08-09,Email,True,42,KL/Selangor
5,Gold,2022-11-17,Email,False,61,Others
6,Silver,2024-04-02,Email,True,67,Penang
7,Silver,2022-10-13,WhatsApp,True,47,KL/Selangor
8,Bronze,2023-07-23,Email,True,64,KL/Selangor
9,Bronze,2022-04-04,App Push,False,24,Johor
10,Bronze,2024-06-22,Email,True,50,Johor
11,Bronze,2024-05-19,App Push,True,46,KL/Selangor
12,Gold,2023-07-29,WhatsApp,False,29,Penang
13,Silver,2024-05-25,WhatsApp,True,28,KL/Selangor
14,Silver,2023-09-15,App Push,True,29,Johor
15,Silver,2024-08-29,Email,True,66,Penang
16,Silver,2023-03-26,Email,False,69,KL/Selangor
17,Silver,2023-10-04,Email,True,59,Sabah/Sarawak
18,Bronze,2023-09-29,WhatsApp,True,51,Others
19,Silver,2024-08-22,WhatsApp,True,25,KL/Selangor
20,Silver,2022-02-06,Email,True,46,Johor
21,Gold,2022-10-21,Email,False,59,KL/Selangor
22,Bronze,2023-06-14,WhatsApp,True,57,Penang
23,Silver,2024-03-26,Email,True,55,KL/Selangor
24,Bronze,2022-03-07,WhatsApp,True,35,Johor
25,Bronze,2022-06-16,Email,True,42,KL/Selangor
26,Silver,2024-06-20,Email,True,48,Others
27,Silver,2024-08-19,Email,True,27,KL/Selangor
28,Silver,2022-01-06,WhatsApp,True,63,Johor
29,Bronze,2024-06-21,WhatsApp,True,65,Penang
30,Bronze,2023-06-17,App Push,True,27,KL/Selangor
31,Bronze,2023-03-06,Email,False,38,KL/Selangor
32,Bronze,2023-08-09,Email,False,58,KL/Selangor
33,Silver,2023-10-28,App Push,True,59,Johor
34,Gold,2023-05-06,WhatsApp,True,50,Sabah/Sarawak
35,Bronze,2022-01-22,WhatsApp,False,37,KL/Selangor
