interaction_id,customer_id,campaign_id,send_date,channel,device_type,send_hour,opened,clicked,converted,revenue_rm,prior_engagements_90d,month
1,556,209,2025-08-12,App Push,Mobile,15,1,1,1,598.42,5,2025-08
2,2210,202,2025-07-30,WhatsApp,Desktop,15,0,0,0,0.0,1,2025-07
3,3022,206,2025-07-08,App Push,Mobile,12,1,1,0,0.0,2,2025-07
4,4406,206,2025-08-13,App Push,Mobile,15,1,0,0,0.0,5,2025-08
5,3526,201,2025-09-22,App Push,Desktop,21,0,0,0,0.0,3,2025-09
6,4730,207,2025-09-06,App Push,Desktop,9,0,0,0,0.0,6,2025-09
7,4678,210,2025-09-26,WhatsApp,Desktop,9,0,0,0,0.0,3,2025-09
8,4607,204,2025-07-31,App Push,Mobile,15,0,0,0,0.0,2,2025-07
9,3603,207,2025-08-13,App Push,Mobile,12,1,0,0,0.0,2,2025-08
10,440,208,2025-09-01,WhatsApp,Mobile,12,1,1,0,0.0,2,2025-09
11,4539,207,2025-08-10,App Push,Mobile,12,1,0,0,0.0,4,2025-08
12,944,208,2025-07-12,WhatsApp,Mobile,15,0,0,0,0.0,3,2025-07
13,4629,206,2025-07-27,App Push,Desktop,15,0,0,0,0.0,3,2025-07
14,502,206,2025-09-19,App Push,Mobile,12,0,0,0,0.0,3,2025-09
15,288,206,2025-07-26,App Push,Desktop,15,0,0,0,0.0,2,2025-07
16,3973,205,2025-08-21,Email,Mobile,9,0,0,0,0.0,2,2025-08
17,2031,210,2025-08-15,WhatsApp,Mobile,15,1,0,0,0.0,2,2025-08
18,606,210,2025-08-19,WhatsApp,Desktop,12,0,0,0,0.0,2,2025-08
19,4602,209,2025-07-02,App Push,Desktop,15,1,0,0,0.0,5,2025-07
20,1698,207,2025-07-14,App Push,Mobile,15,0,0,0,0.0,2,2025-07
21,1534,202,2025-07-14,WhatsApp,Desktop,9,0,0,0,0.0,3,2025-07
22,338,206,2025-09-19,App Push,Mobile,9,0,0,0,0.0,4,2025-09
23,1618,204,2025-08-18,App Push,Mobile,18,0,0,0,0.0,1,2025-08
24,2341,206,2025-08-24,App Push,Mobile,15,1,0,0,0.0,1,2025-08
25,3840,206,2025-09-29,App Push,Mobile,18,0,0,0,0.0,6,2025-09
26,2276,204,2025-09-28,App Push,Mobile,12,0,0,0,0.0,3,2025-09
27,2315,202,2025-09-10,WhatsApp,Desktop,12,1,0,0,0.0,3,2025-09
28,4995,208,2025-09-23,WhatsApp,Mobile,18,0,0,0,0.0,3,2025-09
29,489,210,2025-08-11,WhatsApp,Mobile,15,0,0,0,0.0,0,2025-08
30,29,206,2025-07-26,App Push,Desktop,15,0,0,0,0.0,0,2025-07
31,1234,209,2025-09-14,App Push,Mobile,21,0,0,0,0.0,4,2025-09
32,2895,210,2025-07-11,WhatsApp,Mobile,15,0,0,0,0.0,0,2025-07
33,2326,203,2025-09-04,App Push,Desktop,12,0,0,0,0.0,2,2025-09
34,4409,202,2025-09-26,WhatsApp,Mobile,21,0,0,0,0.0,0,2025-09
35,2398,206,2025-08-07,App Push,Mobile,15,0,0,0,0.0,2,2025-08
36,4842,206,2025-08-15,App Push,Desktop,15,0,0,0,0.0,1,2025-08
37,61,204,2025-09-16,App Push,Mobile,18,0,0,0,0.0,3,2025-09
38,603,207,2025-09-29,App Push,Mobile,12,0,0,0,0.0,3,2025-09
39,4668,205,2025-07-01,Email,Mobile,18,0,0,0,0.0,2,2025-07
40,3764,201,2025-09-26,App Push,Mobile,12,0,0,0,0.0,6,2025-09
41,2451,205,2025-09-29,Email,Desktop,12,0,0,0,0.0,1,2025-09
42,2721,210,2025-07-30,WhatsApp,Mobile,15,1,0,0,0.0,2,2025-07
43,1707,204,2025-07-21,App Push,Mobile,15,0,0,0,0.0,1,2025-07
44,819,203,2025-08-29,App Push,Mobile,21,0,0,0,0.0,1,2025-08
45,1551,207,2025-09-02,App Push,Mobile,18,1,0,0,0.0,3,2025-09
46,1401,206,2025-09-15,App Push,Desktop,18,0,0,0,0.0,2,2025-09
47,3073,208,2025-07-03,WhatsApp,Mobile,12,1,1,0,0.0,3,2025-07
48,3302,206,2025-09-04,App Push,Mobile,12,0,0,0,0.0,2,2025-09
